Waf: Entering directory `/home/tiago/Documentos/Trabalho REDES/pos/ns-allinone-3.30.1/ns-3.30.1/build'
Waf: Leaving directory `/home/tiago/Documentos/Trabalho REDES/pos/ns-allinone-3.30.1/ns-3.30.1/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.735s)
Total time of creation connections: 0.0071706 s
Total time of creation connections: 0.0024225 s
Total time of creation connections: 0.0010982 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.0023902 s
Total time of creation connections: 0.0017119 s
Total time of creation connections: 0.0011305 s
Total time of creation connections: 0.0008398 s
Total time of creation connections: 0.0010982 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0010982 s
Total time of creation connections: 0.0008398 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0010982 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0010659 s
Total time of creation connections: 0.0010659 s
Total time of creation connections: 0.0010982 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0011305 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0010982 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0011628 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0011305 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0010982 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0010659 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0010982 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0010659 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0011305 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0010659 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0011305 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0010982 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0010659 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0014212 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0010659 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0011305 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0010659 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0011305 s
Total time of creation connections: 0.0010659 s
Total time of creation connections: 0.0010982 s
Total time of creation connections: 0.0010659 s
Total time of creation connections: 0.0011305 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0010982 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0010659 s
Total time of creation connections: 0.0011951 s
Total time of creation connections: 0.0011305 s
Total time of creation connections: 0.002584 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.0011305 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.0010336 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0008398 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0008075 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0010013 s
Total time of creation connections: 0.0010013 s
